age,gender,region,income,credit_score,loan_amount,loan_term,employment_years,existing_loans,loan_approved
43,Male,Urban,1007795,606,916594,60,9,5,0
63,Female,Urban,680294,671,287189,72,26,0,0
53,Male,Urban,1865471,742,167431,36,27,1,1
40,Male,Urban,1286911,843,104614,36,9,4,1
18,Male,Urban,1975838,877,337484,48,16,4,0
57,Female,Rural,522677,713,538214,24,14,2,0
32,Female,Rural,1422544,719,617709,72,11,5,0
38,Female,Urban,968440,561,412340,72,19,4,0
64,Male,Urban,500901,304,575225,24,15,4,0
26,Male,Urban,1299026,611,105187,72,19,3,0
26,Male,Urban,1450554,839,216538,36,26,1,0
27,Male,Urban,1994033,358,999755,60,21,3,0
43,Male,Urban,1042603,598,678055,60,26,0,0
58,Male,Urban,704187,349,296456,72,12,0,0
52,Male,Rural,1032394,849,321313,48,4,3,1
42,Male,Urban,419952,700,62698,12,16,4,1
43,Male,Urban,1193730,582,80132,60,33,5,0
28,Female,Urban,534830,464,969814,72,21,4,0
55,Female,Urban,534628,562,200703,12,29,0,0
19,Female,Urban,264131,593,91556,36,2,2,0
24,Male,Urban,1794713,508,55367,48,6,0,0
35,Male,Rural,572672,606,469911,72,14,0,1
44,Female,Rural,1561844,663,676907,48,6,0,0
51,Male,Rural,1818242,402,407716,36,2,3,0
44,Female,Urban,1494473,791,918167,36,28,2,0
34,Female,Urban,1527325,698,200107,12,5,5,0
60,Female,Rural,980940,651,666417,60,26,3,0
61,Female,Urban,1512637,536,130750,72,0,3,0
41,Female,Urban,996806,391,787742,60,33,3,0
42,Female,Urban,376653,447,503739,24,7,0,0
24,Male,Urban,1636029,328,98362,12,24,2,0
23,Male,Rural,796570,315,359412,48,14,1,0
41,Male,Urban,1085708,700,296388,12,37,2,1
50,Male,Rural,1657943,505,51242,72,10,2,0
46,Male,Urban,136052,317,121592,12,8,3,0
60,Male,Rural,1738105,476,470505,36,26,2,0
39,Female,Urban,1189879,740,777627,36,12,2,1
43,Male,Rural,1951061,830,677902,36,11,3,1
45,Male,Urban,1938933,369,816817,36,10,1,0
38,Male,Rural,164548,821,423118,72,34,2,0
24,Female,Urban,1417866,556,654249,36,22,3,0
34,Male,Urban,438265,556,645256,12,20,0,0
37,Female,Urban,154933,858,440709,36,27,4,0
58,Female,Rural,1678477,529,953365,72,6,4,0
37,Female,Rural,1694464,517,573321,60,12,5,0
39,Male,Rural,737463,463,154083,60,30,0,0
45,Male,Urban,453604,691,414199,24,34,1,1
57,Female,Urban,1441783,352,519904,60,16,0,0
24,Male,Urban,104962,774,572408,24,23,4,0
18,Male,Urban,1090841,303,740752,72,21,2,0
49,Male,Urban,771829,860,87132,60,9,0,1
30,Female,Rural,1538880,496,640289,72,15,0,0
47,Male,Rural,1821360,374,509251,48,36,0,0
40,Female,Rural,1150867,504,833039,24,5,2,0
36,Male,Urban,1093213,895,147108,12,11,1,1
49,Female,Urban,997803,845,903939,36,0,1,1
47,Female,Urban,548285,652,468315,24,15,1,0
46,Male,Urban,254841,825,817807,60,33,0,0
62,Male,Urban,269989,631,304635,12,36,3,1
46,Male,Rural,1520226,502,65115,60,26,2,0
47,Male,Urban,247836,537,970857,12,4,2,0
33,Female,Urban,330154,701,955001,60,18,4,0
57,Male,Rural,545674,688,404407,36,10,2,1
36,Female,Rural,332831,366,820715,48,36,1,0
35,Male,Rural,1509147,449,262395,72,10,1,0
18,Male,Urban,625371,433,648484,60,7,1,0
31,Female,Urban,358548,710,431743,60,15,3,0
64,Female,Urban,839337,512,86273,24,30,3,0
19,Male,Rural,289386,848,201792,36,10,2,1
45,Female,Urban,1606831,800,313434,12,0,4,1
47,Male,Rural,254195,525,648984,24,16,5,0
55,Female,Rural,715849,682,617394,36,24,4,1
21,Male,Rural,736587,847,74355,36,25,1,1
18,Male,Urban,1168178,488,73024,24,33,5,0
25,Female,Urban,907368,517,622572,72,1,4,0
46,Male,Rural,465155,679,795511,72,15,1,0
56,Male,Rural,247449,475,709344,12,30,1,0
20,Male,Rural,691630,510,597620,48,21,3,0
49,Female,Urban,833910,642,67072,24,21,3,1
27,Female,Rural,291060,787,945047,60,31,0,0
27,Female,Urban,295588,646,516612,72,5,0,0
36,Male,Urban,1582226,622,416955,48,1,0,1
63,Female,Urban,1961112,793,876990,12,6,2,1
51,Male,Urban,1898430,786,643732,12,10,4,0
50,Male,Urban,472942,376,669414,24,9,0,0
40,Female,Urban,704059,302,290693,24,15,1,0
45,Male,Urban,1029023,837,565721,48,0,2,1
49,Male,Urban,1560915,752,408382,48,34,5,0
24,Female,Urban,807470,302,232574,60,37,4,0
46,Female,Urban,460432,538,948126,60,38,0,0
25,Male,Rural,1122994,543,479775,72,9,4,0
18,Male,Rural,353090,726,664298,60,34,0,1
20,Female,Rural,1355377,841,184175,48,12,1,1
41,Male,Urban,592233,642,184375,36,13,3,0
40,Male,Urban,583086,701,914434,48,11,4,0
25,Male,Rural,1190417,816,267964,60,2,3,1
64,Female,Urban,307447,556,112637,36,37,3,0
54,Male,Urban,1504078,363,309106,60,10,5,0
20,Male,Urban,578135,441,679732,36,33,1,0
50,Male,Urban,599954,596,161703,12,24,3,0
45,Male,Rural,518451,372,402158,48,22,4,0
64,Male,Rural,281220,714,299458,12,7,5,0
25,Female,Rural,1762728,421,414322,24,26,2,0
51,Female,Rural,1182884,614,527647,12,3,4,0
52,Male,Urban,1640746,749,840119,12,23,0,1
49,Female,Urban,1049109,861,175629,24,12,0,1
41,Male,Urban,1875718,493,431091,48,40,0,0
31,Female,Urban,1613306,825,375819,60,30,5,0
49,Male,Urban,1700257,698,740500,48,13,4,0
63,Female,Rural,1103187,580,615358,60,19,4,0
60,Male,Urban,1059733,757,291604,24,36,3,1
33,Female,Rural,1707827,647,568831,36,21,3,0
21,Female,Urban,787636,819,121077,24,11,4,0
54,Male,Urban,1960402,677,872454,48,2,2,0
38,Male,Rural,1815185,739,949679,36,31,1,1
31,Male,Rural,1530173,800,473934,72,4,3,1
48,Female,Rural,830287,383,911031,24,31,3,0
65,Male,Rural,1051040,341,290906,48,11,4,0
35,Female,Urban,1513538,568,890522,36,27,2,0
24,Female,Rural,921145,830,451898,48,26,3,0
27,Male,Urban,157311,333,873984,24,22,0,0
24,Male,Rural,1593768,773,225067,12,3,5,1
50,Female,Rural,1626896,473,984923,12,4,0,0
40,Female,Urban,541511,672,684398,24,37,3,0
38,Female,Rural,514228,805,830583,72,8,4,0
36,Male,Rural,946927,484,290221,60,8,4,0
65,Male,Urban,1927723,499,469155,48,28,5,0
36,Female,Rural,1746819,432,888938,72,16,4,0
53,Female,Rural,1292996,342,988136,24,18,2,0
46,Female,Urban,904442,403,841985,12,1,0,0
35,Male,Rural,535526,316,58545,48,31,1,0
19,Male,Urban,873085,388,215922,72,14,3,0
18,Male,Rural,1434423,789,130810,60,40,2,0
64,Female,Urban,694097,460,479557,12,1,2,0
22,Male,Urban,1327957,853,623619,36,13,4,0
37,Female,Rural,446077,355,884436,60,31,5,0
28,Female,Urban,1194253,893,155959,48,38,3,1
59,Male,Urban,574220,493,244598,72,25,2,0
19,Male,Urban,1564475,764,993806,12,11,0,0
20,Female,Urban,1597347,368,103063,48,25,1,0
40,Male,Urban,679979,319,195002,12,35,3,0
29,Male,Urban,1203426,503,119265,12,11,2,0
37,Male,Urban,1950276,596,482245,36,32,2,0
22,Female,Urban,1912739,486,632351,36,25,0,0
54,Female,Urban,1755054,349,378658,12,22,3,0
55,Female,Urban,1308731,501,118686,36,12,2,0
47,Female,Urban,1286852,722,368940,36,36,1,1
26,Female,Urban,1099816,457,902814,72,39,1,0
51,Female,Urban,1525165,464,581323,60,27,1,0
61,Female,Rural,1770778,602,706656,72,33,5,0
52,Male,Urban,779135,425,629086,36,40,3,0
39,Male,Urban,460431,612,443383,60,18,1,0
61,Female,Urban,1982478,561,541594,24,24,4,0
41,Female,Urban,1579549,893,335954,60,34,5,0
34,Male,Rural,1222897,743,164124,60,20,1,1
27,Female,Urban,1069265,780,504309,72,5,3,0
47,Male,Urban,301805,632,765656,12,15,5,0
63,Male,Urban,946360,587,544966,24,23,0,1
40,Female,Rural,1801670,702,981452,24,15,4,0
49,Male,Urban,1180857,330,220741,48,29,2,0
34,Female,Urban,426203,855,224767,24,27,1,1
34,Male,Rural,714707,706,679721,48,9,0,0
31,Male,Urban,284901,787,512904,48,16,5,0
26,Female,Rural,1098041,326,835611,60,19,4,0
57,Female,Urban,1902799,801,146944,60,35,2,1
19,Male,Urban,1147093,449,678446,12,23,2,0
62,Female,Urban,564754,624,940241,12,15,5,0
42,Female,Urban,104008,579,224863,36,19,1,0
56,Male,Urban,658451,588,366164,48,25,2,1
26,Male,Rural,1782816,875,151812,36,28,1,1
39,Female,Urban,518929,853,606752,12,21,1,0
60,Female,Rural,268212,501,614218,72,19,4,0
63,Male,Urban,350317,871,485262,24,31,0,1
21,Male,Rural,139533,661,979520,36,28,4,0
43,Male,Rural,1295079,606,714631,12,22,4,0
46,Male,Urban,442006,676,56887,60,33,3,1
62,Female,Urban,398392,364,982255,48,11,3,0
51,Female,Rural,343726,833,71390,36,18,5,0
40,Male,Urban,379567,577,697868,12,16,1,0
54,Female,Rural,1640742,773,463963,36,38,0,1
28,Female,Rural,1140092,747,935648,36,21,2,1
23,Female,Urban,1542398,682,74201,12,9,0,1
35,Female,Rural,896764,323,456361,12,17,5,0
38,Female,Urban,882212,841,652283,48,4,2,1
59,Female,Urban,568881,339,340715,36,0,5,0
53,Male,Urban,1442541,380,304678,24,25,1,0
58,Male,Urban,1375742,883,363619,36,24,0,1
55,Female,Urban,433297,781,904451,60,12,4,0
51,Male,Urban,125233,542,563515,12,38,5,0
34,Male,Rural,591327,617,711895,60,38,3,0
54,Male,Urban,1400974,749,358474,72,11,2,0
42,Female,Urban,1652280,831,569167,72,19,1,1
55,Female,Urban,1664618,418,358337,60,5,1,0
29,Male,Urban,1769145,878,660280,36,17,4,0
40,Male,Urban,949604,805,517158,36,1,1,1
59,Female,Urban,1343791,724,807364,36,8,0,1
39,Male,Rural,1801822,531,150813,36,32,5,0
38,Female,Urban,1235692,875,279735,48,0,3,1
44,Male,Rural,1529817,601,742506,60,10,0,1
48,Female,Urban,866303,743,694586,24,21,0,0
23,Female,Rural,126613,838,146460,48,3,4,0
44,Female,Urban,821818,485,365754,60,20,4,0
57,Female,Urban,1214032,451,754088,12,28,2,0
51,Male,Rural,1611385,834,312974,36,19,1,1
29,Male,Rural,940904,819,308122,72,4,2,1
62,Female,Urban,1621966,513,914037,36,26,4,0
24,Female,Rural,788250,786,982936,36,32,2,0
27,Male,Rural,929617,712,427194,60,17,3,0
62,Female,Urban,211917,618,151042,72,21,0,0
34,Female,Urban,1825447,702,443295,12,40,4,1
43,Female,Urban,927393,835,772160,12,36,1,1
38,Female,Urban,969521,338,896035,48,17,4,0
45,Female,Urban,1126595,456,70870,48,20,4,0
63,Female,Urban,1719543,535,303088,60,5,0,0
19,Female,Urban,610582,719,274332,48,27,1,1
60,Female,Urban,581761,777,864114,48,1,2,0
18,Female,Urban,1870537,678,305555,36,14,5,1
53,Male,Urban,412677,424,769934,48,10,5,0
43,Male,Urban,314666,768,82606,48,10,1,1
46,Male,Urban,1478874,447,587693,48,25,2,0
38,Female,Urban,188755,581,364152,60,26,2,0
28,Female,Rural,1789289,450,773546,48,22,4,0
57,Female,Rural,1892220,688,453359,24,7,4,1
28,Female,Urban,1837655,776,131838,24,19,5,0
53,Male,Urban,223239,303,179701,48,33,4,0
56,Male,Urban,173157,461,548949,24,25,0,0
57,Female,Urban,1591695,741,670920,36,0,5,1
52,Male,Urban,444703,425,314125,60,23,4,0
51,Male,Urban,1363433,415,913751,48,40,2,0
64,Female,Urban,419261,839,698501,24,28,5,0
41,Male,Urban,435798,436,650663,72,10,4,0
39,Female,Rural,680635,486,517918,72,7,1,0
22,Male,Urban,413436,777,107240,36,29,3,0
50,Female,Urban,1167698,700,632298,36,14,1,0
53,Male,Urban,455544,679,69212,48,17,0,1
64,Male,Urban,1817731,332,778787,72,24,0,0
37,Female,Urban,598202,312,839124,36,10,4,0
36,Female,Rural,751361,595,479029,36,8,0,0
52,Female,Urban,777171,553,615574,48,31,2,0
60,Male,Urban,1665089,658,399753,24,11,2,1
34,Male,Urban,921151,313,877332,12,22,5,0
62,Female,Urban,374731,563,720875,60,23,1,0
60,Male,Urban,663075,459,843124,48,18,5,0
51,Male,Urban,837839,624,482860,72,9,5,0
26,Female,Urban,1819649,344,104505,24,17,2,0
43,Male,Urban,108975,752,356596,36,14,3,0
19,Male,Rural,1643867,632,382410,12,29,0,1
26,Male,Rural,631246,849,182525,36,33,0,1
26,Female,Urban,618253,403,898473,12,38,5,0
57,Male,Urban,1240554,454,681534,12,12,3,0
34,Female,Urban,1882286,380,453641,24,22,5,0
18,Male,Rural,1155223,478,733602,48,21,1,0
42,Female,Urban,1227607,698,631118,24,26,2,1
60,Male,Urban,485242,617,824217,48,4,2,0
57,Male,Urban,1877551,329,714247,24,10,0,0
59,Female,Urban,937760,459,743097,12,39,1,0
42,Female,Urban,376120,733,213283,24,5,4,0
56,Female,Urban,771039,306,430525,60,2,4,0
52,Female,Urban,833787,744,385710,72,31,2,1
20,Male,Rural,1857738,608,436275,48,9,0,1
54,Male,Urban,1049005,889,368573,48,39,2,0
61,Male,Urban,850049,677,157781,24,19,2,1
61,Female,Urban,982935,486,184094,12,17,1,0
47,Male,Rural,1722959,650,69543,12,33,3,0
55,Female,Urban,895715,327,782957,36,17,2,0
51,Male,Rural,308141,789,526168,24,1,1,0
29,Female,Urban,396655,643,54160,36,12,0,1
36,Male,Urban,300590,805,857729,12,12,4,0
54,Male,Rural,1529217,495,343614,36,25,2,0
61,Female,Rural,1310060,554,269534,48,11,3,0
34,Female,Rural,658736,514,820873,48,11,5,0
27,Female,Urban,575227,414,403925,60,11,2,0
64,Female,Urban,661075,438,628254,48,22,2,0
29,Female,Urban,433449,828,231242,60,17,1,1
33,Female,Rural,404622,354,692374,12,23,5,0
41,Female,Rural,1601712,893,302205,60,26,0,0
36,Female,Urban,683047,837,672938,24,5,0,1
25,Male,Urban,350369,858,938415,24,39,3,0
48,Male,Rural,976983,809,555812,48,2,3,0
38,Female,Urban,585113,796,555515,60,30,3,1
34,Female,Urban,1145312,837,269684,24,31,5,0
40,Male,Rural,270614,612,924805,60,27,3,0
54,Male,Urban,1809252,508,622517,12,8,4,0
33,Female,Urban,1694722,419,902707,36,33,3,0
23,Male,Rural,1975157,757,396061,24,26,1,1
25,Female,Urban,1256202,521,764022,60,26,0,0
42,Female,Urban,156527,890,110731,24,24,0,1
35,Male,Urban,1878292,802,785784,24,18,1,1
42,Female,Urban,1036904,340,577919,12,13,0,0
29,Female,Urban,1319491,702,918173,24,39,0,1
32,Female,Rural,1840941,300,984551,36,18,4,0
43,Male,Rural,1007081,333,993113,24,11,5,0
58,Male,Urban,1586607,643,64761,12,30,4,1
62,Female,Rural,398664,724,358613,48,35,5,0
43,Male,Urban,345442,364,629714,72,24,5,0
64,Male,Urban,414779,885,758797,12,5,3,0
49,Male,Urban,1291005,815,920361,12,13,3,0
27,Male,Rural,1638972,697,367693,60,6,2,0
33,Male,Rural,1239392,320,391833,60,28,4,0
24,Male,Urban,1133115,453,796149,48,25,1,0
34,Female,Urban,535541,543,265989,36,33,1,0
40,Female,Rural,180159,368,320932,24,38,2,0
43,Male,Urban,1713491,821,473923,12,35,4,0
38,Female,Rural,1929130,764,650088,48,10,4,0
39,Male,Urban,1949241,331,735249,36,11,1,0
24,Female,Urban,770622,884,155507,72,16,4,0
31,Male,Urban,625843,714,746128,24,40,3,1
32,Male,Urban,1326579,532,192507,60,22,4,0
24,Female,Rural,1081216,698,606521,72,30,4,0
26,Male,Urban,1645156,477,973387,48,17,5,0
65,Female,Urban,1339208,814,345339,12,25,1,1
25,Male,Urban,1538018,403,765607,48,22,4,0
40,Male,Urban,1496267,334,603417,24,7,0,0
46,Female,Urban,186001,609,375874,12,22,4,0
35,Female,Urban,695643,411,603506,12,10,1,0
48,Male,Urban,1117825,400,217867,72,30,0,0
47,Male,Rural,1595134,709,764069,36,18,3,1
56,Male,Urban,1271078,894,992445,12,21,0,0
52,Female,Urban,1776893,521,545534,72,40,4,0
35,Male,Rural,1400021,653,647985,72,16,4,0
59,Male,Urban,782942,539,67887,72,26,2,0
56,Female,Urban,283889,678,78815,24,30,3,0
34,Male,Urban,619631,443,971470,24,16,1,0
31,Male,Urban,527788,542,657709,24,16,1,0
48,Male,Urban,1666496,779,304115,12,33,1,1
41,Female,Rural,312614,643,204042,60,34,2,0
52,Male,Rural,960829,368,999948,48,10,1,0
61,Male,Urban,1851550,311,253486,72,19,0,0
62,Female,Urban,1666986,392,966445,24,3,3,0
51,Male,Urban,816101,869,968084,36,2,4,0
20,Male,Urban,1646004,786,833319,36,7,5,1
54,Male,Urban,1919423,719,63997,72,35,1,1
60,Female,Urban,968484,307,638771,72,35,3,0
57,Female,Rural,480265,369,552618,12,18,4,0
43,Male,Urban,1089532,866,447453,12,19,4,0
40,Male,Urban,583874,649,509876,36,4,0,1
61,Male,Urban,747930,360,858908,12,25,0,0
56,Male,Urban,384206,553,627299,36,21,4,0
32,Female,Rural,1929131,638,502123,48,25,1,0
21,Male,Rural,220612,603,454863,60,9,5,0
46,Male,Urban,1178253,621,800792,24,23,2,0
39,Female,Rural,1985227,451,624229,48,35,2,0
42,Male,Rural,543669,675,958630,12,31,1,0
30,Female,Rural,1178410,583,922700,48,24,4,0
35,Male,Urban,617430,333,968663,60,14,1,0
50,Female,Urban,1827724,612,362960,36,38,2,0
33,Male,Urban,1828777,878,721302,36,33,4,1
62,Female,Urban,1355593,581,704199,36,15,5,0
59,Male,Rural,1608567,779,434700,72,9,5,0
61,Female,Urban,1984276,505,852123,12,5,0,0
19,Male,Rural,1848205,848,839158,60,36,0,1
52,Female,Urban,304531,363,483713,60,40,2,0
59,Male,Urban,845295,663,270495,72,20,0,1
51,Female,Urban,1869291,517,571411,12,1,1,0
47,Female,Urban,1838678,706,932916,24,37,3,0
30,Female,Urban,1953873,357,383064,36,18,5,0
30,Female,Rural,588863,863,722264,48,40,3,0
35,Male,Urban,1275639,566,87850,48,37,5,0
49,Male,Urban,1745507,564,352667,48,22,0,0
49,Female,Rural,1857417,625,546545,72,16,1,0
52,Male,Urban,854272,882,642022,72,5,0,1
56,Male,Urban,346289,445,214322,24,33,0,0
63,Male,Urban,926478,364,889911,72,14,5,0
46,Male,Urban,1373552,667,935000,12,26,4,0
46,Female,Urban,527860,890,471866,12,21,1,0
61,Female,Rural,1887514,692,662812,36,34,5,1
33,Female,Rural,1521549,743,444929,24,18,2,0
61,Male,Rural,1835019,436,405309,48,1,1,0
64,Female,Urban,1820728,438,243337,12,19,1,0
27,Female,Rural,1475866,430,377800,24,32,0,0
47,Female,Urban,1538698,733,694138,72,16,4,1
42,Female,Urban,409203,406,304081,60,39,4,0
56,Female,Urban,984953,325,474174,24,40,0,0
37,Male,Rural,389170,878,407825,36,1,4,0
22,Male,Urban,705405,481,80492,48,11,1,0
18,Male,Urban,1458168,677,337660,12,17,2,0
47,Female,Urban,774275,323,263432,72,22,2,0
20,Female,Urban,1021712,568,93669,12,18,2,1
62,Female,Urban,522929,630,488186,72,4,4,0
31,Female,Urban,1778787,529,783140,60,20,3,0
47,Female,Urban,180090,408,627850,60,19,5,0
21,Female,Urban,1333056,487,581054,60,15,0,0
35,Female,Urban,629477,441,146901,36,5,5,0
54,Male,Urban,1469094,345,474174,48,25,3,0
42,Male,Rural,207520,542,737800,60,31,5,0
65,Male,Urban,910853,440,304875,72,34,5,0
18,Male,Urban,302850,451,960031,48,22,0,0
63,Female,Urban,340214,699,103120,48,36,3,0
32,Male,Urban,539887,840,124134,60,17,0,1
26,Female,Urban,1099738,318,55767,48,20,2,0
32,Male,Urban,1202881,892,547651,12,12,2,1
41,Male,Urban,821121,778,947212,48,27,1,0
21,Female,Urban,108670,475,393529,48,13,5,0
29,Female,Rural,1769610,520,55376,12,40,5,0
54,Male,Urban,550782,587,337498,12,29,3,0
54,Female,Urban,666963,857,361303,24,36,0,1
60,Male,Urban,1138218,892,290110,24,34,2,0
23,Female,Rural,1792167,882,566658,60,40,0,1
56,Female,Urban,1220498,624,950259,72,40,5,0
63,Male,Urban,465526,716,220183,36,39,2,1
41,Female,Urban,313471,795,815018,48,21,0,1
28,Female,Rural,378836,322,442476,48,34,3,0
30,Female,Urban,139566,761,834255,36,37,0,0
51,Female,Urban,182459,678,624187,60,12,2,0
42,Male,Urban,1588339,488,383905,48,8,0,0
24,Female,Urban,746285,748,858136,24,15,2,1
21,Female,Urban,214777,648,616947,48,12,5,0
25,Female,Rural,935257,327,277582,12,17,5,0
37,Male,Rural,801425,578,70517,48,8,1,1
46,Female,Urban,1658840,895,868509,48,7,4,0
62,Female,Urban,1870020,347,623095,12,18,4,0
63,Female,Urban,165537,857,830055,24,15,3,0
27,Male,Rural,1668673,682,360972,12,10,2,1
60,Male,Urban,903873,856,470070,72,27,3,1
51,Male,Rural,1293273,517,65437,36,31,5,0
43,Male,Urban,1421185,606,463255,24,18,3,0
58,Female,Urban,533736,477,580059,48,6,5,0
20,Female,Urban,751627,846,675459,12,23,0,1
23,Female,Urban,1192468,720,523438,72,22,4,0
22,Female,Urban,760986,355,185137,72,6,3,0
22,Male,Rural,1628757,870,586931,12,39,2,0
64,Male,Urban,1330961,831,996132,24,39,2,0
40,Female,Urban,747106,385,919763,72,36,1,0
26,Female,Urban,928957,873,519898,12,14,4,0
52,Female,Urban,1951986,313,305671,36,22,3,0
37,Male,Urban,1384574,404,489529,60,14,5,0
59,Female,Urban,897391,477,212276,48,7,1,0
52,Male,Rural,1470218,508,474680,36,8,5,0
35,Female,Urban,1916890,368,890198,12,36,2,0
34,Female,Rural,767321,362,824966,60,26,4,0
41,Female,Urban,990743,470,518093,48,21,2,0
20,Male,Urban,1202999,681,577947,36,21,3,1
49,Female,Urban,781870,609,300244,24,19,0,1
52,Male,Urban,1934645,466,77010,48,20,4,0
55,Male,Urban,1729343,532,483631,24,13,1,0
30,Female,Urban,1294058,462,868919,48,20,1,0
64,Male,Urban,1221628,892,922691,12,21,0,1
42,Female,Rural,401737,803,731791,72,32,1,0
26,Male,Urban,874330,564,94002,36,13,0,0
21,Female,Rural,636407,805,457011,48,12,5,0
31,Female,Urban,106482,359,768731,24,21,4,0
54,Male,Rural,224726,361,71981,48,25,3,0
51,Female,Rural,623757,405,299085,48,20,5,0
28,Female,Urban,154072,443,985072,48,14,3,0
58,Female,Urban,313044,699,573175,12,10,5,0
20,Female,Urban,1328709,843,155896,72,11,5,0
45,Female,Urban,1886112,657,165842,72,5,4,1
46,Male,Rural,744667,786,748521,72,31,5,0
26,Male,Urban,852861,546,795765,72,23,1,0
20,Male,Urban,1642189,531,899139,36,16,0,0
42,Female,Rural,1340323,337,529464,72,38,4,0
51,Female,Urban,1599150,745,462193,72,33,4,0
29,Female,Urban,446960,746,244754,60,23,3,0
59,Female,Urban,1380627,315,797085,48,24,4,0
26,Female,Urban,1791659,353,805948,48,21,2,0
32,Male,Urban,200352,317,299197,12,22,4,0
57,Male,Rural,298732,848,393693,24,21,0,1
42,Female,Urban,1013949,595,101792,60,19,4,0
22,Male,Urban,1299817,874,973214,60,11,0,0
28,Female,Urban,1731203,367,602843,60,16,5,0
51,Male,Urban,1692197,700,903798,12,26,3,0
41,Male,Urban,860648,781,201016,60,0,2,0
32,Female,Urban,1756449,318,757179,72,39,2,0
55,Male,Rural,1014437,897,60077,24,0,3,1
25,Female,Urban,270058,748,942733,36,36,1,0
22,Male,Urban,849913,608,342016,60,13,0,0
65,Female,Urban,1357307,445,206474,72,25,2,0
43,Female,Urban,196588,391,801922,48,2,0,0
35,Female,Rural,946501,760,821014,24,21,0,0
23,Female,Urban,1544690,718,140351,24,38,3,1
54,Male,Rural,254897,628,288882,60,15,0,0
65,Male,Urban,1524893,636,404482,48,7,2,0
30,Male,Urban,1099067,717,950594,24,10,4,0
45,Female,Urban,327595,884,856515,12,24,0,0
22,Female,Urban,1752191,374,343406,60,16,2,0
30,Male,Urban,204140,384,156995,48,24,0,0
34,Female,Urban,1921427,637,575095,72,19,2,0
57,Male,Rural,475382,476,870644,36,14,5,0
62,Male,Rural,1849603,749,158685,24,6,2,0
49,Female,Rural,721241,444,643650,36,21,1,0
46,Male,Urban,1936253,546,448777,48,31,5,0
20,Male,Urban,1036213,428,69483,72,24,0,0
57,Female,Urban,1860613,888,62532,12,14,4,1
51,Female,Urban,1009996,380,799579,48,9,3,0
57,Male,Urban,1307337,512,339128,36,4,0,0
44,Female,Urban,119522,668,794517,48,16,4,0
30,Female,Rural,1389096,406,944275,48,5,5,0
62,Male,Rural,131935,394,608688,24,2,3,0
50,Female,Rural,1713966,398,977287,72,30,2,0
23,Male,Rural,1601085,347,943956,48,7,4,0
41,Male,Urban,1173305,475,229773,12,32,1,0
36,Male,Urban,172797,698,203702,24,22,5,0
33,Female,Rural,1463140,344,911151,12,11,1,0
57,Male,Urban,351486,557,686894,36,9,5,0
45,Male,Urban,1081752,613,894577,72,32,2,0
50,Male,Urban,288409,465,619255,48,12,3,0
65,Male,Urban,977077,814,353066,72,5,3,0
58,Female,Rural,312533,780,344244,60,23,1,0
30,Male,Rural,1651848,771,839860,48,26,1,1
60,Female,Urban,1712412,490,674251,60,27,0,0
62,Female,Urban,1106393,342,798661,24,34,5,0
42,Female,Urban,341358,536,566902,36,23,2,0
59,Male,Urban,835212,831,53179,60,9,4,0
53,Male,Urban,899412,877,274524,48,19,5,0
44,Male,Rural,1670658,525,66771,48,21,0,0
55,Female,Urban,1591730,733,743256,48,18,0,0
24,Male,Rural,958273,753,787005,36,17,0,1
22,Female,Urban,720821,426,981717,60,15,3,0
60,Male,Urban,1683575,726,807024,60,9,3,0
62,Male,Urban,1574700,700,498453,36,5,5,0
48,Male,Urban,1254682,372,856959,12,12,3,0
40,Male,Urban,1422551,447,184480,24,7,5,0
59,Female,Rural,1019495,720,243956,36,23,5,1
27,Male,Urban,1911241,735,974108,48,19,5,0
49,Female,Urban,1993622,890,226789,72,24,3,1
60,Female,Urban,1774049,581,490497,12,4,4,0
47,Female,Urban,969054,708,359010,72,3,5,0
56,Male,Urban,1861449,619,190059,72,25,3,0
48,Female,Rural,1634170,714,793286,60,34,4,0
35,Male,Urban,429761,668,215492,24,14,2,0
53,Female,Urban,1060796,693,866575,48,34,5,0
19,Male,Urban,191545,721,292361,48,10,0,0
31,Male,Urban,1354806,896,659534,48,32,1,0
30,Female,Urban,1317571,795,771258,36,39,0,1
46,Female,Rural,1979413,771,847592,72,3,5,0
29,Male,Urban,526248,397,469947,60,20,4,0
56,Male,Urban,338420,671,913559,12,2,3,0
19,Female,Urban,1494403,451,953020,24,31,4,0
49,Male,Urban,517346,380,748271,48,34,5,0
30,Male,Urban,1730214,316,495870,36,0,5,0
63,Female,Urban,1898166,369,905800,72,17,1,0
44,Female,Urban,158783,811,547738,36,5,5,0
58,Female,Rural,737462,537,556277,24,18,0,0
34,Female,Urban,557999,714,543039,12,30,0,0
57,Male,Urban,1631916,356,718186,36,7,5,0
48,Female,Urban,1131433,703,825269,36,5,5,0
51,Male,Urban,253335,729,524404,60,38,5,0
41,Male,Urban,1475802,429,389949,60,22,2,0
62,Female,Urban,1572769,893,565107,12,3,4,1
52,Male,Urban,1528175,349,381425,72,11,2,0
65,Female,Urban,658003,769,912606,72,14,3,0
23,Male,Urban,1357088,784,376716,24,3,2,1
36,Male,Urban,759141,797,957084,48,9,0,0
47,Female,Rural,847317,631,922346,36,29,0,0
24,Male,Urban,234418,444,896994,48,38,0,0
27,Male,Urban,342715,505,609692,48,11,5,0
58,Male,Urban,426276,389,285910,48,38,3,0
